EmployeeID,Age,Gender,Ethnicity,Department,JobTitle,PerformanceScore,TenureYears,DisabilityStatus,VeteranStatus,Location,LGBTStatus,Promotion,InclusionProgramParticipant,Salary
10011,43,Male,Hispanic,Legal,Specialist,4,2.5,No,No,Los Angeles,No,No,Yes,123461
10012,33,Female,Black,Engineering,Analyst,5,9.7,No,Yes,New York,No,Yes,Yes,225101
10013,51,Female,White,Sales,Manager,4,13.9,No,Yes,Los Angeles,No,Yes,No,156468
10014,46,Male,Hispanic,HR,Engineer,1,11.8,Yes,Yes,Atlanta,No,No,Yes,203437
10015,56,Female,Hispanic,HR,Analyst,1,10.5,Yes,Yes,Houston,Yes,No,No,97959
10016,49,Female,Hispanic,Marketing,Analyst,2,17.8,Yes,No,Austin,No,Yes,No,114838
10017,24,Female,Black,Legal,Manager,1,9.6,Yes,No,Austin,Yes,Yes,Yes,199778
10018,52,Female,Indian,Engineering,Leadership,2,1.1,Yes,No,Austin,Yes,Yes,No,161675
10019,37,Female,Asian,Engineering,Specialist,3,18.8,Yes,No,Austin,No,No,Yes,103633
10020,61,Male,Asian,HR,Engineer,3,5.3,Yes,Yes,Austin,Yes,No,No,226994
10021,33,Female,Asian,Marketing,Manager,1,19.0,No,No,Los Angeles,No,Yes,Yes,142544
10022,59,Female,Hispanic,Marketing,Specialist,5,5.4,Yes,Yes,Houston,Yes,No,Yes,124938
10023,62,Female,Black,Engineering,Manager,3,11.0,No,Yes,Los Angeles,Yes,No,Yes,133445
10024,30,Male,Asian,Engineering,Specialist,1,15.5,Yes,No,Atlanta,No,Yes,No,141209
10025,22,Female,Asian,Legal,Engineer,5,6.4,Yes,No,Houston,Yes,No,No,113172
10026,40,Male,Black,Legal,Engineer,2,6.7,No,No,Houston,Yes,No,Yes,92644
10027,33,Male,Black,HR,Specialist,2,1.8,No,Yes,Austin,Yes,No,No,114187
10028,52,Male,Black,Marketing,Analyst,3,5.0,No,No,Houston,No,No,No,207917
10029,45,Male,Black,Marketing,Specialist,1,8.8,Yes,No,Los Angeles,No,Yes,No,255043
10030,22,Male,Indian,Engineering,Engineer,4,9.0,No,Yes,Austin,No,No,No,157533
10031,59,Male,Asian,HR,Specialist,3,14.2,Yes,No,Austin,Yes,Yes,No,158590
10032,63,Male,White,HR,Analyst,1,15.6,No,Yes,Austin,Yes,No,No,155189
10033,23,Female,Black,Legal,Analyst,3,15.6,Yes,Yes,Los Angeles,Yes,No,Yes,163551
10034,51,Female,Indian,Engineering,Specialist,4,7.2,Yes,No,New York,No,No,Yes,261190
10035,53,Male,Indian,HR,Manager,4,10.2,Yes,No,Chicago,Yes,Yes,No,176230
10036,53,Female,White,Marketing,Analyst,3,15.6,No,No,Austin,No,No,No,101738
10037,33,Female,White,Legal,Leadership,5,3.7,No,No,Houston,Yes,No,No,257961
10038,44,Female,Hispanic,HR,Leadership,3,15.9,Yes,Yes,Houston,No,No,Yes,220469
10039,43,Female,Asian,Finance,Engineer,1,4.2,No,Yes,Houston,No,Yes,No,219926
10040,63,Male,White,Marketing,Manager,1,2.9,No,Yes,Los Angeles,No,No,No,96234
10041,57,Male,Indian,Sales,Specialist,3,1.1,Yes,No,Los Angeles,No,No,Yes,258260
